taxonKey,genus,species,decimalLatitude,decimalLongitude,country,coordinateUncertaintyInMeters,year,month,day
7294715,Cordia,Cordia superba,-11.441583,-38.050392,Brazil,,2018.0,8.0,17.0
7294715,Cordia,Cordia superba,-22.892601,-43.178368,Brazil,,2018.0,8.0,5.0
7294715,Cordia,Cordia superba,-22.892601,-43.178368,Brazil,,2018.0,8.0,5.0
7294715,Cordia,Cordia superba,-12.225833,-41.256944,Brazil,,2018.0,11.0,17.0
7294715,Cordia,Cordia superba,-12.225833,-41.256944,Brazil,,2018.0,11.0,17.0
7294715,Cordia,Cordia superba,-29.435278,-15.182078,Brazil,,2018.0,12.0,6.0
7294715,Cordia,Cordia superba,-29.435278,-15.182078,Brazil,,2018.0,12.0,6.0
7294715,Cordia,Cordia superba,-15.796195,-47.926697,Brazil,,2018.0,12.0,17.0
7294715,Cordia,Cordia superba,-22.958967,-48.417878,Brazil,,2018.0,12.0,19.0
7294715,Cordia,Cordia superba,-22.989353,-43.228262,Brazil,,2017.0,2.0,1.0
7294715,Cordia,Cordia superba,-13.0,13.0,Brazil,,2017.0,4.0,19.0
7294715,Cordia,Cordia superba,-9.775369,-35.922158,Brazil,,2017.0,4.0,1.0
7294715,Cordia,Cordia superba,-22.505225,-47.185876,Brazil,7.0,2017.0,4.0,29.0
7294715,Cordia,Cordia superba,-23.613745,-46.841087,Brazil,,2017.0,4.0,9.0
7294715,Cordia,Cordia superba,-3.870278,-41.195556,Brazil,,2017.0,5.0,19.0
7294715,Cordia,Cordia superba,-3.870278,-41.195556,Brazil,,2017.0,5.0,19.0
7294715,Cordia,Cordia superba,-3.870278,-41.195556,Brazil,,2017.0,5.0,19.0
7294715,Cordia,Cordia superba,-3.870278,-41.195556,Brazil,,2017.0,5.0,19.0
7294715,Cordia,Cordia superba,-10.818333,-37.286111,Brazil,,2017.0,5.0,6.0
7294715,Cordia,Cordia superba,-12.683333,-41.166667,Brazil,,2017.0,6.0,17.0
7294715,Cordia,Cordia superba,-12.683333,-41.166667,Brazil,,2017.0,6.0,17.0
7294715,Cordia,Cordia superba,-12.683333,-41.166667,Brazil,,2017.0,6.0,17.0
7294715,Cordia,Cordia superba,-6.997504,-34.920001,Brazil,,2017.0,6.0,19.0
7294715,Cordia,Cordia superba,-6.974985,-35.077506,Brazil,,2017.0,6.0,14.0
7294715,Cordia,Cordia superba,-6.727488,-35.190054,Brazil,,2017.0,6.0,20.0
7294715,Cordia,Cordia superba,-5.58,-46.755556,Brazil,,2017.0,7.0,17.0
7294715,Cordia,Cordia superba,-5.58,-45.9,Brazil,,2017.0,7.0,10.0
7294715,Cordia,Cordia superba,-5.399722,-43.56,Brazil,,2017.0,7.0,7.0
7294715,Cordia,Cordia superba,-5.22,-44.64,Brazil,,2017.0,8.0,1.0
7294715,Cordia,Cordia superba,-5.8425,-35.201111,Brazil,,2017.0,9.0,22.0
7294715,Cordia,Cordia superba,-5.8425,-35.201111,Brazil,,2017.0,9.0,22.0
7294715,Cordia,Cordia superba,-5.04,-43.92,Brazil,,2017.0,9.0,18.0
7294715,Cordia,Cordia superba,-4.68,-45.0025,Brazil,,2017.0,9.0,4.0
7294715,Cordia,Cordia superba,-12.0,12.0,Brazil,,2017.0,10.0,10.0
7294715,Cordia,Cordia superba,-9.833333,-36.076389,Brazil,,2017.0,10.0,16.0
7294715,Cordia,Cordia superba,-9.5401,-35.6395,Brazil,,2017.0,10.0,16.0
7294715,Cordia,Cordia superba,-9.54,-35.639444,Brazil,,2017.0,10.0,16.0
7294715,Cordia,Cordia superba,-22.950526,-46.835902,Brazil,24.0,2017.0,11.0,4.0
7294715,Cordia,Cordia superba,-22.892875,-43.178738,Brazil,,2017.0,11.0,25.0
7294715,Cordia,Cordia superba,-6.176944,-35.188056,Brazil,,2017.0,12.0,15.0
7294715,Cordia,Cordia superba,-6.176944,-35.188056,Brazil,,2017.0,12.0,15.0
7294715,Cordia,Cordia superba,-6.176944,-35.188055,Brazil,,2017.0,12.0,15.0
7294715,Cordia,Cordia superba,-10.151944,-36.382222,Brazil,,2016.0,1.0,7.0
7294715,Cordia,Cordia superba,-10.255278,-36.639167,Brazil,,2016.0,1.0,7.0
7294715,Cordia,Cordia superba,-10.559258,-37.075464,Brazil,,2016.0,1.0,7.0
7294715,Cordia,Cordia superba,-10.255278,-36.639167,Brazil,,2016.0,1.0,7.0
7294715,Cordia,Cordia superba,-22.528637,-41.925155,Brazil,,2016.0,2.0,3.0
7294715,Cordia,Cordia superba,-22.52948,-41.925592,Brazil,,2016.0,2.0,4.0
7294715,Cordia,Cordia superba,-12.0,-41.0,Brazil,,2016.0,3.0,12.0
7294715,Cordia,Cordia superba,-12.0,-41.0,Brazil,,2016.0,3.0,12.0
7294715,Cordia,Cordia superba,-12.0,-41.0,Brazil,,2016.0,3.0,12.0
7294715,Cordia,Cordia superba,-12.0,-41.0,Brazil,,2016.0,3.0,12.0
7294715,Cordia,Cordia superba,-12.0,-41.0,Brazil,,2016.0,3.0,12.0
7294715,Cordia,Cordia superba,-16.8665,-42.057667,Brazil,,2016.0,3.0,3.0
7294715,Cordia,Cordia superba,-16.866389,-42.057778,Brazil,,2016.0,3.0,3.0
7294715,Cordia,Cordia superba,-22.842775,-43.235428,Brazil,,2016.0,3.0,9.0
7294715,Cordia,Cordia superba,-10.492778,-37.102778,Brazil,,2016.0,4.0,13.0
7294715,Cordia,Cordia superba,-10.824317,-37.174664,Brazil,,2016.0,4.0,13.0
